threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,3042893.7225384233,3042893.7225384233,1055.3866999999186,3670987,1.0860781074484294e-7,3042893.7225384233,3042893.7225383148,1.0849907994270325e-7
1,2838021.5724002467,3042893.7225384233,1055.3866999999186,140144,657144.4683001036,3042893.7225384233,2180877.104100143,862016.6184382802
2,2737376.1325679002,3042893.7225384233,1055.3866999999186,82332,959019.7862001386,3042893.7225384233,1778356.3463677615,1264537.3761706618
3,2672135.917920009,3042893.7225384233,1055.3866999999186,60399,1162202.7131000436,3042893.7225384233,1509933.2048199652,1532960.517718458
4,2608482.9975119163,3042893.7225384233,1055.3866999999186,48021,1329097.6073000073,3042893.7225384233,1279385.390211909,1763508.3323265142
5,2531515.2475200677,3042893.7225384233,1055.3866999999186,38880,1547279.0215002152,3042893.7225384233,984236.2260198526,2058657.4965185707
6,2502929.639280082,3042893.7225384233,1055.3866999999186,33982,1688179.244900069,3042893.7225384233,814750.3943800132,2228143.3281584103
7,2450445.6471600593,3042893.7225384233,1055.3866999999186,29808,1744530.713700079,3042893.7225384233,705914.9334599804,2336978.789078443
8,2436873.0618960727,3042893.7225384233,1055.3866999999186,27379,1982122.9297002857,3042893.7225384233,454750.13219578704,2588143.590342636
9,2443489.132056078,3042893.7225384233,1055.3866999999186,25612,1844410.1951000013,3042893.7225384233,599078.9369560766,2443814.785582347
10,2296438.111296038,3042893.7225384233,1055.3866999999186,21086,2327421.2451001196,3042893.7225384233,-30983.133804081473,3073876.8563425047
11,2247550.589424028,3042893.7225384233,1055.3866999999186,19069,2760388.6923001925,3042893.7225384233,-512838.1028761645,3555731.8254145877
12,2235175.2333120317,3042893.7225384233,1055.3866999999186,18009,2559818.473499564,3042893.7225384233,-324643.24018753227,3367536.9627259555
13,2225145.47388002,3042893.7225384233,1055.3866999999186,17086,2441698.9980994565,3042893.7225384233,-216553.52421943657,3259447.24675786
14,2212553.190456027,3042893.7225384233,1055.3866999999186,16264,2346536.1099995426,3042893.7225384233,-133982.91954351543,3176876.6420819387
15,2168357.988552004,3042893.7225384233,1055.3866999999186,15068,2764617.859399572,3042893.7225384233,-596259.8708475679,3639153.593385991
16,2148275.39656802,3042893.7225384233,1055.3866999999186,14305,2714699.9573993958,3042893.7225384233,-566424.5608313759,3609318.283369799
17,2141893.656168019,3042893.7225384233,1055.3866999999186,13775,2656145.764599639,3042893.7225384233,-514252.10843162006,3557145.8309700433
18,2138659.375104018,3042893.7225384233,1055.3866999999186,13299,2845078.6264000232,3042893.7225384233,-706419.2512960052,3749312.9738344285
19,2127258.971208016,3042893.7225384233,1055.3866999999186,12779,2892588.4655000204,3042893.7225384233,-765329.4942920045,3808223.2168304278
20,2006408.2508399962,3042893.7225384233,1055.3866999999186,10911,3418807.163999892,3042893.7225384233,-1412398.9131598957,4455292.6356983185
