threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,263671.45880048507,263671.45880048507,417.71320000000026,809939,-1.5406831200213675e-9,263671.45880048507,263671.4588004866,-1.5133991837501526e-9
1,233577.4556000021,263671.45880048507,417.71320000000026,36183,356838.8324586043,263671.45880048507,-123261.37685860219,386932.8356590873
2,223165.25079999652,263671.45880048507,417.71320000000026,23160,397209.2681952238,263671.45880048507,-174044.0173952273,437715.47619571234
3,215313.4903999988,263671.45880048507,417.71320000000026,17591,442316.4163055541,263671.45880048507,-227002.9259055553,490674.3847060404
4,206797.79959999857,263671.45880048507,417.71320000000026,14244,473185.0319356158,263671.45880048507,-266387.23233561724,530058.6911361023
5,192007.47679999942,263671.45880048507,417.71320000000026,10708,586371.2599470365,263671.45880048507,-394363.7831470371,658035.2419475222
6,183828.4951999994,263671.45880048507,417.71320000000026,8895,567181.7363985403,263671.45880048507,-383353.2411985409,647024.699999026
7,178203.39439999993,263671.45880048507,417.71320000000026,7866,632578.2743058541,263671.45880048507,-454374.8799058542,718046.3387063392
8,172879.57079999978,263671.45880048507,417.71320000000026,6855,641793.0492790055,263671.45880048507,-468913.47847900575,732584.9372794908
9,168709.5383999998,263671.45880048507,417.71320000000026,6213,598352.8465649467,263671.45880048507,-429643.3081649469,693314.766965432
10,161042.62600000037,263671.45880048507,417.71320000000026,5394,663294.3929764982,263671.45880048507,-502251.76697649783,765923.225776983
11,156317.5495999996,263671.45880048507,417.71320000000026,4814,637565.9802652227,263671.45880048507,-481248.43066522316,744919.8894657083
12,153219.08959999972,263671.45880048507,417.71320000000026,4265,577121.1157946184,263671.45880048507,-423902.02619461867,687573.4849951037
13,149193.4492000002,263671.45880048507,417.71320000000026,3890,701255.3943973508,263671.45880048507,-552061.9451973506,815733.4039978357
14,145182.72280000008,263671.45880048507,417.71320000000026,3585,717762.4221777426,263671.45880048507,-572579.6993777425,836251.1581782275
15,141664.8271999999,263671.45880048507,417.71320000000026,3321,721495.6258900682,263671.45880048507,-579830.7986900683,843502.2574905534
16,137644.59040000007,263671.45880048507,417.71320000000026,3083,817629.8093255875,263671.45880048507,-679985.2189255874,943656.6777260725
17,135174.2567999999,263671.45880048507,417.71320000000026,2912,797719.1078101178,263671.45880048507,-662544.8510101179,926216.309810603
18,133938.72679999963,263671.45880048507,417.71320000000026,2781,700860.9880949446,263671.45880048507,-566922.261294945,830593.72009543
19,132166.6268,263671.45880048507,417.71320000000026,2654,549425.3339979568,263671.45880048507,-417258.70719795686,680930.1659984419
20,130080.07840000019,263671.45880048507,417.71320000000026,2497,634793.4161742135,263671.45880048507,-504713.33777421335,768384.7965746984
