threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,61981.85342982365,61981.85342982365,406.56850000000134,803980,4.2296139923792e-9,61981.85342982365,61981.85342981942,4.2273313738405704e-9
1,53499.70326200019,61981.85342982365,406.56850000000134,8328,31125.619600007805,61981.85342982365,22374.083661992387,39607.76976783126
2,49697.94860999949,61981.85342982365,406.56850000000134,4588,52305.673700028885,61981.85342982365,-2607.725090029395,64589.57851985304
3,46466.464089999725,61981.85342982365,406.56850000000134,3109,49807.57219998771,61981.85342982365,-3341.1081099879884,65322.96153981164
4,44555.471214,61981.85342982365,406.56850000000134,2396,38030.513700024574,61981.85342982365,6524.957513975423,55456.895915848225
5,42234.33234599995,61981.85342982365,406.56850000000134,1892,32485.497899986687,61981.85342982365,9748.834446013265,52233.01898381038
6,40887.974357999985,61981.85342982365,406.56850000000134,1592,66392.68050004379,61981.85342982365,-25504.706142043804,87486.55957186746
7,39788.36924199997,61981.85342982365,406.56850000000134,1386,56620.77690012439,61981.85342982365,-16832.407658124415,78814.26108794806
8,38508.10662599999,61981.85342982365,406.56850000000134,1202,62720.25320016651,61981.85342982365,-24212.146574166516,86194.00000399016
9,37292.879693999996,61981.85342982365,406.56850000000134,1074,65024.4380001137,61981.85342982365,-27731.558306113708,89713.41173593735
10,35815.81889400001,61981.85342982365,406.56850000000134,936,113743.17600004212,61981.85342982365,-77927.35710604211,139909.21053586574
11,34523.07370200004,61981.85342982365,406.56850000000134,831,122582.77100008819,61981.85342982365,-88059.69729808815,150041.55072791182
12,34129.530166000004,61981.85342982365,406.56850000000134,763,105898.05200005462,61981.85342982365,-71768.52183405461,133750.37526387826
13,33061.36466199998,61981.85342982365,406.56850000000134,687,129899.09480007668,61981.85342982365,-96837.7301380767,158819.58356790035
14,32717.210918000008,61981.85342982365,406.56850000000134,643,81037.67780007003,61981.85342982365,-48320.46688207002,110302.32031189367
15,32338.45373800003,61981.85342982365,406.56850000000134,612,120101.04740008898,61981.85342982365,-87762.59366208896,149744.44709191262
16,32153.86838200004,61981.85342982365,406.56850000000134,576,155363.7613002078,61981.85342982365,-123209.89291820777,185191.74634803142
17,31525.228033999996,61981.85342982365,406.56850000000134,539,81800.88659990998,61981.85342982365,-50275.65856590998,112257.51199573363
18,30378.846786,61981.85342982365,406.56850000000134,498,76207.88759981142,61981.85342982365,-45829.04081381143,107810.89424363508
19,29533.133466000025,61981.85342982365,406.56850000000134,466,84846.28429980064,61981.85342982365,-55313.15083380061,117295.00426362426
20,29498.862770000003,61981.85342982365,406.56850000000134,441,160418.72320013773,61981.85342982365,-130919.86043013772,192901.71385996137
