threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,306537.02331141796,306537.02331141796,1372.9817999999648,3357387,1.6124511503790018e-8,306537.02331141796,306537.02331140183,1.6123522073030472e-8
1,282084.12288000935,306537.02331141796,1372.9817999999648,49754,92540.43589999186,306537.02331141796,189543.6869800175,116993.33633140047
2,270297.0807600005,306537.02331141796,1372.9817999999648,30847,130462.18320003347,306537.02331141796,139834.89755996704,166702.12575145092
3,262206.2020200015,306537.02331141796,1372.9817999999648,23532,173530.58680001996,306537.02331141796,88675.61521998153,217861.40809143643
4,252296.20583999937,306537.02331141796,1372.9817999999648,19186,187192.16210008576,306537.02331141796,65104.04373991361,241432.97957150434
5,225257.60628000056,306537.02331141796,1372.9817999999648,13612,203804.71260007384,306537.02331141796,21452.893679926725,285084.12963149126
6,214715.07708000016,306537.02331141796,1372.9817999999648,11235,197201.6352999797,306537.02331141796,17513.441780020454,289023.58153139753
7,208049.48094000047,306537.02331141796,1372.9817999999648,9787,248659.04710020334,306537.02331141796,-40609.56616020287,347146.58947162086
8,202755.00420000008,306537.02331141796,1372.9817999999648,8595,231963.97990012902,306537.02331141796,-29208.97570012894,335745.9990115469
9,198389.26358999967,306537.02331141796,1372.9817999999648,7658,295173.0500999647,306537.02331141796,-96783.78650996505,403320.809821383
10,186019.0474799994,306537.02331141796,1372.9817999999648,6461,304716.3540001706,306537.02331141796,-118697.3065201712,425234.32983158913
11,180482.51970000018,306537.02331141796,1372.9817999999648,5783,272355.38949995046,306537.02331141796,-91872.86979995028,398409.89311136823
12,176192.8358399999,306537.02331141796,1372.9817999999648,5259,284675.30500036967,306537.02331141796,-108482.46916036977,415019.49247178773
13,174211.29705000014,306537.02331141796,1372.9817999999648,4892,391992.8074005102,306537.02331141796,-217781.51035051004,524318.533661928
14,170328.28869000063,306537.02331141796,1372.9817999999648,4515,378454.7433002668,306537.02331141796,-208126.45461026617,514663.47792168416
15,167206.41084000003,306537.02331141796,1372.9817999999648,4181,424940.5104003106,306537.02331141796,-257734.0995603106,564271.1228717286
16,161406.86666999978,306537.02331141796,1372.9817999999648,3816,376117.21650032373,306537.02331141796,-214710.34983032395,521247.3731417419
17,158204.17599000022,306537.02331141796,1372.9817999999648,3538,355215.026200732,306537.02331141796,-197010.85021073176,503547.87352214975
18,155918.1214499996,306537.02331141796,1372.9817999999648,3324,359348.3166011304,306537.02331141796,-203430.1951511308,509967.2184625488
19,150577.94471999985,306537.02331141796,1372.9817999999648,3059,437140.12509990623,306537.02331141796,-286562.1803799064,593099.2036913243
20,151022.88305999996,306537.02331141796,1372.9817999999648,2930,387672.8967002663,306537.02331141796,-236650.01364026632,543187.0369516843
