threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,100034.21399894425,100034.21399894425,1359.4369999999958,1528048,1.5263930563946815e-8,100034.21399894425,100034.21399892899,1.5264959074556828e-8
1,93658.95356999917,100034.21399894425,1359.4369999999958,13166,24397.83640000454,100034.21399894425,69261.11716999463,30773.096828949623
2,90655.09299000003,100034.21399894425,1359.4369999999958,7843,28559.51290000882,100034.21399894425,62095.580089991214,37938.63390895304
3,88409.75157,100034.21399894425,1359.4369999999958,5772,46830.53240006219,100034.21399894425,41579.2191699378,58454.99482900645
4,86174.45318999962,100034.21399894425,1359.4369999999958,4613,52347.266000064905,100034.21399894425,33827.18718993472,66207.02680900953
5,84146.5109099997,100034.21399894425,1359.4369999999958,3835,58457.80260006082,100034.21399894425,25688.708309938884,74345.50568900537
6,82816.41584999995,100034.21399894425,1359.4369999999958,3303,58157.612799863215,100034.21399894425,24658.803050136732,75375.41094880752
7,81701.44436999994,100034.21399894425,1359.4369999999958,2941,50406.29610013834,100034.21399894425,31295.148269861602,68739.06572908265
8,80320.65027000011,100034.21399894425,1359.4369999999958,2629,68581.2277000756,100034.21399894425,11739.422569924514,88294.79142901974
9,79015.95828000006,100034.21399894425,1359.4369999999958,2385,97795.94400001818,100034.21399894425,-18779.985720018114,118814.19971896237
10,77729.10368999999,100034.21399894425,1359.4369999999958,2158,89913.05669988622,100034.21399894425,-12183.95300988623,112218.16700883048
11,76797.84021000007,100034.21399894425,1359.4369999999958,1983,78397.53850009036,100034.21399894425,-1599.698290090295,101633.91228903455
12,75887.30414999997,100034.21399894425,1359.4369999999958,1839,51519.526000316255,100034.21399894425,24367.778149683712,75666.43584926054
13,75184.5817800002,100034.21399894425,1359.4369999999958,1730,113465.36170046846,100034.21399894425,-38280.77992046827,138314.99391941252
14,74920.7041800001,100034.21399894425,1359.4369999999958,1644,111675.75670060515,100034.21399894425,-36755.05252060505,136789.2665195493
15,73979.75151,100034.21399894425,1359.4369999999958,1535,89387.61440026807,100034.21399894425,-15407.862890268065,115442.07688921232
16,73064.39910000002,100034.21399894425,1359.4369999999958,1448,86573.03730039205,100034.21399894425,-13508.63820039203,113542.85219933628
17,72098.00177999987,100034.21399894425,1359.4369999999958,1361,96075.86790047842,100034.21399894425,-23977.866120478546,124012.0801194228
18,71483.06423999985,100034.21399894425,1359.4369999999958,1298,89321.91970079276,100034.21399894425,-17838.85546079291,117873.06945973716
19,70369.83344999999,100034.21399894425,1359.4369999999958,1221,72775.54990000231,100034.21399894425,-2405.716450002321,102439.93044894657
20,69958.42328999992,100034.21399894425,1359.4369999999958,1164,100505.02330076508,100034.21399894425,-30546.600010765163,130580.81400970941
