threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,73331.05239994457,73331.05239994457,401.6293000000018,515513,-8.258208422352957e-10,73331.05239994457,73331.0523999454,-8.294591680169106e-10
1,64898.77319999986,73331.05239994457,401.6293000000018,10078,27233.677164502235,73331.05239994457,37665.09603549763,35665.956364446945
2,60942.107599999916,73331.05239994457,401.6293000000018,5627,39268.68805318293,73331.05239994457,21673.419546816986,51657.63285312759
3,57821.4556000001,73331.05239994457,401.6293000000018,3906,58459.95623574598,73331.05239994457,-638.5006357458769,73969.55303569045
4,55736.041199999905,73331.05239994457,401.6293000000018,2995,53246.2641422051,73331.05239994457,2489.777057794803,70841.27534214978
5,53233.14640000006,73331.05239994457,401.6293000000018,2338,122267.21902844701,73331.05239994457,-69034.07262844694,142365.1250283915
6,50988.575999999965,73331.05239994457,401.6293000000018,1900,116007.99616599508,73331.05239994457,-65019.420165995114,138350.47256593968
7,49510.63799999998,73331.05239994457,401.6293000000018,1633,129632.87860991008,73331.05239994457,-80122.2406099101,153453.29300985468
8,48171.61360000002,73331.05239994457,401.6293000000018,1413,131310.70474706477,73331.05239994457,-83139.09114706476,156470.14354700933
9,47290.351599999995,73331.05239994457,401.6293000000018,1270,95840.72537250134,73331.05239994457,-48550.37377250135,121881.42617244592
10,46271.1092,73331.05239994457,401.6293000000018,1132,192073.4092819128,73331.05239994457,-145802.3000819128,219133.35248185738
11,44345.466,73331.05239994457,401.6293000000018,985,128277.64904422885,73331.05239994457,-83932.18304422885,157263.23544417342
12,43866.0232,73331.05239994457,401.6293000000018,909,63131.99946191431,73331.05239994457,-19265.976261914308,92597.02866185887
13,42881.82400000003,73331.05239994457,401.6293000000018,827,131100.9848980804,73331.05239994457,-88219.16089808039,161550.21329802496
14,41946.92960000001,73331.05239994457,401.6293000000018,755,118019.56509828402,73331.05239994457,-76072.63549828401,149403.68789822859
15,40490.25760000001,73331.05239994457,401.6293000000018,677,179270.0183568681,73331.05239994457,-138779.76075686808,212110.81315681266
16,39580.423199999976,73331.05239994457,401.6293000000018,622,245100.38916596558,73331.05239994457,-205519.9659659656,278851.01836591016
17,39085.6028,73331.05239994457,401.6293000000018,591,202351.26747486737,73331.05239994457,-163265.66467486738,236596.71707481195
18,38805.15999999998,73331.05239994457,401.6293000000018,567,188726.74374035434,73331.05239994457,-149921.58374035437,223252.63614029894
19,37754.18999999997,73331.05239994457,401.6293000000018,524,178190.62727586197,73331.05239994457,-140436.437275862,213767.48967580657
20,36266.498800000016,73331.05239994457,401.6293000000018,470,172708.9383739786,73331.05239994457,-136442.4395739786,209773.49197392317
