threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,192951.54967193576,192951.54967193576,859.4465999999978,159654,-1.679417849231868e-8,192951.54967193576,192951.54967195255,-1.6792910173535347e-8
1,181652.82861599905,192951.54967193576,859.4465999999978,8920,41046.61279997893,192951.54967193576,140606.21581602012,52345.33385591564
2,175089.3033119981,192951.54967193576,859.4465999999978,5468,72348.88529998274,192951.54967193576,102740.41801201538,90211.13165992039
3,171293.8315199983,192951.54967193576,859.4465999999978,4097,78141.61019999464,192951.54967193576,93152.22132000365,99799.32835193211
4,168498.5888879984,192951.54967193576,859.4465999999978,3382,95024.10259996005,192951.54967193576,73474.48628803834,119477.06338389742
5,164471.38747199852,192951.54967193576,859.4465999999978,2791,79065.21309997258,192951.54967193576,85406.17437202594,107545.37529990982
6,162516.13459199932,192951.54967193576,859.4465999999978,2419,96531.07599996775,192951.54967193576,65985.05859203156,126966.4910799042
7,159805.53338399943,192951.54967193576,859.4465999999978,2140,110136.00819992344,192951.54967193576,49669.52518407599,143282.02448785977
8,157511.40904799924,192951.54967193576,859.4465999999978,1930,103288.26679991605,192951.54967193576,54223.1422480832,138728.40742385256
9,154955.60707199966,192951.54967193576,859.4465999999978,1727,109212.63189994218,192951.54967193576,45742.975172057486,147208.57449987828
10,152994.59649599998,192951.54967193576,859.4465999999978,1572,109177.24960003095,192951.54967193576,43817.346895969036,149134.20277596673
11,151580.98216800008,192951.54967193576,859.4465999999978,1453,81946.67100001918,192951.54967193576,69634.3111679809,123317.23850395487
12,150342.73413600022,192951.54967193576,859.4465999999978,1351,120424.0767999501,192951.54967193576,29918.65733605012,163032.89233588564
13,148546.09778399998,192951.54967193576,859.4465999999978,1256,53719.60299997218,192951.54967193576,94826.4947840278,98125.05488790796
14,145119.06444000002,192951.54967193576,859.4465999999978,1141,54904.37339991145,192951.54967193576,90214.69104008857,102736.8586318472
15,142219.42475999997,192951.54967193576,859.4465999999978,1066,59120.90539998282,192951.54967193576,83098.51936001715,109853.03031191861
16,142590.17051999996,192951.54967193576,859.4465999999978,1006,666.8696000240743,192951.54967193576,141923.30091997588,51028.24875195988
17,139267.85292000006,192951.54967193576,859.4465999999978,934,-66722.3610000601,192951.54967193576,205990.21392006017,-13038.664248124405
18,139071.28334400008,192951.54967193576,859.4465999999978,887,29502.345100093633,192951.54967193576,109568.93824390645,83382.61142802931
19,135616.93857600007,192951.54967193576,859.4465999999978,822,-25347.096199985594,192951.54967193576,160964.03477598567,31987.514895950095
20,134309.774592,192951.54967193576,859.4465999999978,781,-243064.4761999119,192951.54967193576,377374.2507919119,-184422.70111997615
