threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,1619256.9868425855,1619256.9868425855,1216.148800000004,984277,-7.767610199493902e-8,1619256.9868425855,1619256.9868426633,-7.776543498039246e-8
1,1479883.6502521527,1619256.9868425855,1216.148800000004,57223,-432982.29880006326,1619256.9868425855,1912865.949052216,-293608.9622096305
2,1421456.309363973,1619256.9868425855,1216.148800000004,34020,-585309.6265000774,1619256.9868425855,2006765.9358640504,-387508.9490214649
3,1381405.1644680104,1619256.9868425855,1216.148800000004,24900,-733015.1616000327,1619256.9868425855,2114420.3260680432,-495163.33922545775
4,1352161.6818359904,1619256.9868425855,1216.148800000004,20069,-774045.2449000096,1619256.9868425855,2126206.926736,-506949.9398934145
5,1322752.0421640002,1619256.9868425855,1216.148800000004,16435,-818775.6683000651,1619256.9868425855,2141527.7104640654,-522270.72362147993
6,1298150.6654759997,1619256.9868425855,1216.148800000004,14050,-923170.8656999315,1619256.9868425855,2221321.531175931,-602064.5443333455
7,1277025.0896760053,1619256.9868425855,1216.148800000004,12397,-870037.9983999557,1619256.9868425855,2147063.088075961,-527806.1012333755
8,1261561.9926839948,1619256.9868425855,1216.148800000004,11220,-1107539.0731997988,1619256.9868425855,2369101.065883794,-749844.0790412084
9,1248790.2963480013,1619256.9868425855,1216.148800000004,10254,-1055944.311599969,1619256.9868425855,2304734.6079479703,-685477.6211053848
10,1216546.424939994,1619256.9868425855,1216.148800000004,8937,-1241042.4617000825,1619256.9868425855,2457588.8866400765,-838331.899797491
11,1198119.413987999,1619256.9868425855,1216.148800000004,8146,-1477845.038899911,1619256.9868425855,2675964.4528879104,-1056707.466045325
12,1184055.4818119959,1619256.9868425855,1216.148800000004,7555,-1322378.6212998144,1619256.9868425855,2506434.10311181,-887177.1162692246
13,1174142.4368519944,1619256.9868425855,1216.148800000004,7092,-1190524.3736998588,1619256.9868425855,2364666.810551853,-745409.8237092674
14,1163378.2877640005,1619256.9868425855,1216.148800000004,6672,-1144215.6260998473,1619256.9868425855,2307593.913863848,-688336.9270212625
15,1150040.8401719984,1619256.9868425855,1216.148800000004,6251,-1358250.9387000385,1619256.9868425855,2508291.778872037,-889034.7920294513
16,1138051.1732520005,1619256.9868425855,1216.148800000004,5886,-1302162.6138001964,1619256.9868425855,2440213.787052197,-820956.8002096114
17,1129002.870491998,1619256.9868425855,1216.148800000004,5608,-1217943.851799971,1619256.9868425855,2346946.7222919688,-727689.7354493833
18,1121718.9170039983,1619256.9868425855,1216.148800000004,5368,-1501377.084399879,1619256.9868425855,2623096.0014038775,-1003839.014561292
19,1107522.3108600006,1619256.9868425855,1216.148800000004,5071,-1586563.0524998442,1619256.9868425855,2694085.363359845,-1074828.3765172593
20,1078412.7005400017,1619256.9868425855,1216.148800000004,4582,-1717635.24999998,1619256.9868425855,2796047.950539982,-1176790.9636973965
