threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,2865.7778600000793,2865.7778600000793,73.39999999999999,4358,-6.228688675946614e-10,2865.7778600000793,2865.7778600007023,-6.230038707144558e-10
1,2118.8156759999997,2865.7778600000793,73.39999999999999,428,-5650.4960000006395,2865.7778600000793,7769.31167600064,-4903.53381600056
2,2024.6365399999943,2865.7778600000793,73.39999999999999,247,-10174.264100000932,2865.7778600000793,12198.900640000926,-9333.122780000846
3,1735.3051400000038,2865.7778600000793,73.39999999999999,150,-3853.5849000005983,2865.7778600000793,5588.890040000602,-2723.112180000523
4,1599.2510560000017,2865.7778600000793,73.39999999999999,107,-2391.3641000006464,2865.7778600000793,3990.6151560006483,-1124.837296000569
5,1469.2350600000007,2865.7778600000793,73.39999999999999,84,6518.552799995174,2865.7778600000793,-5049.317739995173,7915.095599995252
6,1459.2625119999998,2865.7778600000793,73.39999999999999,72,2199.614899998065,2865.7778600000793,-740.3523879980653,3606.1302479981446
7,1411.134084,2865.7778600000793,73.39999999999999,62,-6618.984600000316,2865.7778600000793,8030.1186840003165,-5164.340824000237
8,1419.7406199999996,2865.7778600000793,73.39999999999999,56,-30891.69999999844,2865.7778600000793,32311.44061999844,-29445.662759998362
9,1313.971972,2865.7778600000793,73.39999999999999,46,-13374.149600005476,2865.7778600000793,14688.121572005475,-11822.343712005397
10,1256.6533160000001,2865.7778600000793,73.39999999999999,40,-16036.483300007647,2865.7778600000793,17293.136616007647,-14427.358756007568
11,1207.1217920000004,2865.7778600000793,73.39999999999999,35,-7598.013099998003,2865.7778600000793,8805.134891998003,-5939.3570319979235
12,1199.554116,2865.7778600000793,73.39999999999999,32,-17468.05950000044,2865.7778600000793,18667.61361600044,-15801.83575600036
13,1151.569452,2865.7778600000793,73.39999999999999,28,-20680.24950000015,2865.7778600000793,21831.81895200015,-18966.041092000072
14,1209.278252,2865.7778600000793,73.39999999999999,27,-39385.0288999991,2865.7778600000793,40594.307151999106,-37728.529291999024
15,1207.936116,2865.7778600000793,73.39999999999999,27,-27172.206299997168,2865.7778600000793,28380.14241599717,-25514.36455599709
16,1124.425996,2865.7778600000793,73.39999999999999,23,-39549.85849999776,2865.7778600000793,40674.28449599776,-37808.50663599768
17,1151.294116,2865.7778600000793,73.39999999999999,23,-48464.11740000034,2865.7778600000793,49615.411516000335,-46749.63365600025
18,927.1391160000001,2865.7778600000793,73.39999999999999,17,13287.407800001092,2865.7778600000793,-12360.268684001092,15226.046544001172
19,874.5153959999999,2865.7778600000793,73.39999999999999,15,2615.181000002194,2865.7778600000793,-1740.6656040021944,4606.443464002274
20,889.653796,2865.7778600000793,73.39999999999999,15,-9217.084799996112,2865.7778600000793,10106.738595996112,-7240.960735996033
