threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,192951.54967193576,192951.54967193576,859.4465999999978,159654,1.679417849231868e-8,192951.54967193576,192951.54967191897,1.6792910173535347e-8
1,181652.82861599905,192951.54967193576,859.4465999999978,8920,-41046.61279997893,192951.54967193576,222699.44141597798,-29747.891744042223
2,175089.3033119981,192951.54967193576,859.4465999999978,5468,-72348.88529998274,192951.54967193576,247438.18861198085,-54486.638940045086
3,171293.8315199983,192951.54967193576,859.4465999999978,4097,-78141.61019999464,192951.54967193576,249435.44171999293,-56483.89204805717
4,168498.5888879984,192951.54967193576,859.4465999999978,3382,-95024.10259996005,192951.54967193576,263522.6914879584,-70571.14181602266
5,164471.38747199852,192951.54967193576,859.4465999999978,2791,-79065.21309997258,192951.54967193576,243536.6005719711,-50585.050900035334
6,162516.13459199932,192951.54967193576,859.4465999999978,2419,-96531.07599996775,192951.54967193576,259047.21059196707,-66095.66092003131
7,159805.53338399943,192951.54967193576,859.4465999999978,2140,-110136.00819992344,192951.54967193576,269941.54158392287,-76989.9919119871
8,157511.40904799924,192951.54967193576,859.4465999999978,1930,-103288.26679991605,192951.54967193576,260799.6758479153,-67848.12617597953
9,154955.60707199966,192951.54967193576,859.4465999999978,1727,-109212.63189994218,192951.54967193576,264168.2389719419,-71216.68930000611
10,152994.59649599998,192951.54967193576,859.4465999999978,1572,-109177.24960003095,192951.54967193576,262171.8460960309,-69220.29642409514
11,151580.98216800008,192951.54967193576,859.4465999999978,1453,-81946.67100001918,192951.54967193576,233527.65316801926,-40576.103496083495
12,150342.73413600022,192951.54967193576,859.4465999999978,1351,-120424.0767999501,192951.54967193576,270766.8109359503,-77815.26126401455
13,148546.09778399998,192951.54967193576,859.4465999999978,1256,-53719.60299997218,192951.54967193576,202265.70078397216,-9314.151112036401
14,145119.06444000002,192951.54967193576,859.4465999999978,1141,-54904.37339991145,192951.54967193576,200023.43783991146,-7071.888167975703
15,142219.42475999997,192951.54967193576,859.4465999999978,1066,-59120.90539998282,192951.54967193576,201340.33015998278,-8388.780488047021
16,142590.17051999996,192951.54967193576,859.4465999999978,1006,-666.8696000240743,192951.54967193576,143257.04012002403,49694.50955191173
17,139267.85292000006,192951.54967193576,859.4465999999978,934,66722.3610000601,192951.54967193576,72545.49191993996,120406.0577519958
18,139071.28334400008,192951.54967193576,859.4465999999978,887,-29502.345100093633,192951.54967193576,168573.62844409372,24377.921227842045
19,135616.93857600007,192951.54967193576,859.4465999999978,822,25347.096199985594,192951.54967193576,110269.84237601448,82681.70729592128
20,134309.774592,192951.54967193576,859.4465999999978,781,243064.4761999119,192951.54967193576,-108754.7016079119,301706.2512798477
