threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,140610.48560518617,140610.48560518617,423.99810000000315,1642796,-7.451232519883888e-9,140610.48560518617,140610.48560519362,-7.450580596923828e-9
1,122112.03390600152,140610.48560518617,423.99810000000315,23692,-59212.20559998677,140610.48560518617,181324.2395059883,-40713.75390080214
2,113116.40394199923,140610.48560518617,423.99810000000315,13086,-104871.70590003667,140610.48560518617,217988.10984203592,-77377.62423684975
3,106306.28802200049,140610.48560518617,423.99810000000315,8918,-112596.59769998823,140610.48560518617,218902.8857219887,-78292.40011680254
4,100556.81107799939,140610.48560518617,423.99810000000315,6656,-113755.80960004806,140610.48560518617,214312.62067804745,-73702.13507286127
5,95443.54571400004,140610.48560518617,423.99810000000315,5273,-139766.93059998506,140610.48560518617,235210.4763139851,-94599.99070879893
6,91464.68702199936,140610.48560518617,423.99810000000315,4315,-169623.9451000234,140610.48560518617,261088.63212202277,-120478.1465168366
7,87750.0685940001,140610.48560518617,423.99810000000315,3656,-161769.9042002404,140610.48560518617,249519.9727942405,-108909.48718905431
8,85137.76851000004,140610.48560518617,423.99810000000315,3172,-186610.02130018442,140610.48560518617,271747.78981018445,-131137.30420499828
9,82368.27189000002,140610.48560518617,423.99810000000315,2802,-185829.52120014,140610.48560518617,268197.79309014004,-127587.30748495387
10,78290.05043000002,140610.48560518617,423.99810000000315,2410,-262172.98010013904,140610.48560518617,340463.03053013905,-199852.54492495288
11,76065.33707399992,140610.48560518617,423.99810000000315,2159,-191036.9566002153,140610.48560518617,267102.2936742152,-126491.80806902904
12,73713.58917399983,140610.48560518617,423.99810000000315,1931,-206157.09640018735,140610.48560518617,279870.6855741872,-139260.19996900103
13,71491.73789000013,140610.48560518617,423.99810000000315,1739,-347885.296300089,140610.48560518617,419377.0341900891,-278766.5485849029
14,70541.34050199996,140610.48560518617,423.99810000000315,1615,-233528.10660003894,140610.48560518617,304069.4471020389,-163458.96149685272
15,67817.64566999993,140610.48560518617,423.99810000000315,1471,-274933.03290035296,140610.48560518617,342750.6785703529,-202140.19296516673
16,65803.11782199993,140610.48560518617,423.99810000000315,1335,-227343.47810043162,140610.48560518617,293146.59592243156,-152536.1103172454
17,65437.028130000064,140610.48560518617,423.99810000000315,1268,-176984.25150016113,140610.48560518617,242421.27963016118,-101810.79402497501
18,62175.98867799999,140610.48560518617,423.99810000000315,1146,-133176.13239997393,140610.48560518617,195352.12107797392,-54741.63547278775
19,60575.34316200003,140610.48560518617,423.99810000000315,1070,-218603.64609963167,140610.48560518617,279178.9892616317,-138568.5036564455
20,60041.78161799987,140610.48560518617,423.99810000000315,1002,-264841.4347002874,140610.48560518617,324883.2163182873,-184272.73071310113
