threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,62340.29365782357,62340.29365782357,406.56850000000134,804366,4.1068322076398545e-9,62340.29365782357,62340.293657819464,4.103640094399452e-9
1,53818.7089740003,62340.29365782357,406.56850000000134,8413,31329.195400007622,62340.29365782357,22489.513573992677,39850.78008383089
2,49982.78878199951,62340.29365782357,406.56850000000134,4629,53180.55600002917,62340.29365782357,-3197.767218029665,65538.06087585323
3,46706.16846199969,62340.29365782357,406.56850000000134,3131,49646.62789998739,62340.29365782357,-2940.4594379877017,65280.75309581127
4,44790.32520200001,62340.29365782357,406.56850000000134,2413,37286.948200024315,62340.29365782357,7503.377001975692,54836.916655847876
5,42428.498581999964,62340.29365782357,406.56850000000134,1902,31198.68419998756,62340.29365782357,11229.814382012402,51110.479275811165
6,41073.14899399998,62340.29365782357,406.56850000000134,1600,65771.02480004355,62340.29365782357,-24697.875806043572,87038.16946386715
7,39991.01907799997,62340.29365782357,406.56850000000134,1394,55305.127600123524,62340.29365782357,-15314.108522123555,77654.40217994712
8,38728.28246199999,62340.29365782357,406.56850000000134,1210,61680.07270016568,62340.29365782357,-22951.79023816569,85292.08389598926
9,37484.701001999994,62340.29365782357,406.56850000000134,1080,65355.94160011341,62340.29365782357,-27871.240598113414,90211.53425593697
10,35943.022094000014,62340.29365782357,406.56850000000134,939,111929.48490004125,62340.29365782357,-75986.46280604124,138326.75646386482
11,34598.714902000036,62340.29365782357,406.56850000000134,832,120735.72990008676,62340.29365782357,-86137.01499808673,148477.3086559103
12,34205.171366,62340.29365782357,406.56850000000134,764,104051.0109000532,62340.29365782357,-69845.8395340532,132186.13319187675
13,33137.005861999976,62340.29365782357,406.56850000000134,688,128052.05370007525,62340.29365782357,-94915.04783807528,157255.34149589884
14,32792.85211800001,62340.29365782357,406.56850000000134,644,79190.6367000686,62340.29365782357,-46397.78458206859,108738.07823989216
15,32414.094938000027,62340.29365782357,406.56850000000134,613,118254.00630008755,62340.29365782357,-85839.91136208753,148180.2050199111
16,32229.50958200004,62340.29365782357,406.56850000000134,577,153516.7202002064,62340.29365782357,-121287.21061820634,183627.5042760299
17,31598.430833999995,62340.29365782357,406.56850000000134,540,79398.23599991063,62340.29365782357,-47799.80516591063,110140.0988237342
18,30497.236186,62340.29365782357,406.56850000000134,500,73510.53729981137,62340.29365782357,-43013.30111381138,105353.59477163495
19,29651.522866000025,62340.29365782357,406.56850000000134,468,82469.33399980143,62340.29365782357,-52817.8111338014,115158.10479162497
20,29617.252170000003,62340.29365782357,406.56850000000134,443,157480.4729001387,62340.29365782357,-127863.2207301387,190203.51438796226
