threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,3048893.171210613,3048893.171210613,1055.3866999999186,3674280,1.0760897950490289e-7,3048893.171210613,3048893.1712105055,1.0756775736808777e-7
1,2843137.419360228,3048893.171210613,1055.3866999999186,140494,661107.4880001033,3048893.171210613,2182029.9313601246,866863.2398504885
2,2742090.444911902,3048893.171210613,1055.3866999999186,82554,966343.1002001393,3048893.171210613,1775747.3447117624,1273145.8264988507
3,2676708.642216007,3048893.171210613,1055.3866999999186,60564,1177239.2639000453,3048893.171210613,1499469.378315962,1549423.7928946512
4,2612714.849975918,3048893.171210613,1055.3866999999186,48145,1344478.9966000083,3048893.171210613,1268235.8533759096,1780657.3178347035
5,2535680.61658807,3048893.171210613,1055.3866999999186,38985,1565963.7071002184,3048893.171210613,969716.9094878517,2079176.2617227614
6,2506897.9601400825,3048893.171210613,1055.3866999999186,34068,1692283.60930007,3048893.171210613,814614.3508400125,2234278.8203706006
7,2454280.908912059,3048893.171210613,1055.3866999999186,29882,1770945.063900075,3048893.171210613,683335.845011984,2365557.326198629
8,2440480.3930920716,3048893.171210613,1055.3866999999186,27442,2007877.4898002865,3048893.171210613,432602.90329178516,2616290.267918828
9,2447023.621812076,3048893.171210613,1055.3866999999186,25668,1874626.1801000058,3048893.171210613,572397.44171207,2476495.729498543
10,2299824.669072038,3048893.171210613,1055.3866999999186,21134,2344973.3380001164,3048893.171210613,-45148.668928078376,3094041.8401386915
11,2250819.6183480276,3048893.171210613,1055.3866999999186,19112,2777476.9416001947,3048893.171210613,-526657.3232521671,3575550.49446278
12,2238270.74814003,3048893.171210613,1055.3866999999186,18047,2573677.4291995605,3048893.171210613,-335406.68105953047,3384299.8522701436
13,2228364.017124021,3048893.171210613,1055.3866999999186,17122,2483836.394199452,3048893.171210613,-255472.37707543094,3304365.548286044
14,2215610.797512027,3048893.171210613,1055.3866999999186,16296,2364517.8372995383,3048893.171210613,-148907.03978751134,3197800.2109981244
15,2171502.4226280046,3048893.171210613,1055.3866999999186,15099,2811616.5286995564,3048893.171210613,-640114.1060715518,3689007.277282165
16,2151341.453772021,3048893.171210613,1055.3866999999186,14334,2755072.594199375,3048893.171210613,-603731.1404273538,3652624.311637967
17,2144921.940840019,3048893.171210613,1055.3866999999186,13802,2677332.0762996376,3048893.171210613,-532410.1354596186,3581303.3066702317
18,2141567.6889600186,3048893.171210613,1055.3866999999186,13323,2885514.528100028,3048893.171210613,-743946.8391400096,3792840.0103506227
19,2130051.0509880157,3048893.171210613,1055.3866999999186,12802,2923576.8576999996,3048893.171210613,-793525.8067119839,3842418.977922597
20,2009494.3788359961,3048893.171210613,1055.3866999999186,10935,3458738.606399866,3048893.171210613,-1449244.2275638697,4498137.398774482
