threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,100050.72986894415,100050.72986894415,1359.4369999999958,1528171,1.5269021602648536e-8,100050.72986894415,100050.72986892889,1.5264959074556828e-8
1,93661.49456999917,100050.72986894415,1359.4369999999958,13167,24420.006900004562,100050.72986894415,69241.4876699946,30809.24219894955
2,90655.09299000003,100050.72986894415,1359.4369999999958,7843,28559.51290000882,100050.72986894415,62095.580089991214,37955.14977895294
3,88409.75157,100050.72986894415,1359.4369999999958,5772,46830.53240006219,100050.72986894415,41579.2191699378,58471.51069900635
4,86174.45318999962,100050.72986894415,1359.4369999999958,4613,52347.266000064905,100050.72986894415,33827.18718993472,66223.54267900944
5,84146.5109099997,100050.72986894415,1359.4369999999958,3835,58457.80260006082,100050.72986894415,25688.708309938884,74362.02155900527
6,82816.41584999995,100050.72986894415,1359.4369999999958,3303,58157.612799863215,100050.72986894415,24658.803050136732,75391.92681880742
7,81701.44436999994,100050.72986894415,1359.4369999999958,2941,50406.29610013834,100050.72986894415,31295.148269861602,68755.58159908255
8,80320.65027000011,100050.72986894415,1359.4369999999958,2629,68581.2277000756,100050.72986894415,11739.422569924514,88311.30729901964
9,79015.95828000006,100050.72986894415,1359.4369999999958,2385,97795.94400001818,100050.72986894415,-18779.985720018114,118830.71558896227
10,77729.10368999999,100050.72986894415,1359.4369999999958,2158,89913.05669988622,100050.72986894415,-12183.95300988623,112234.68287883038
11,76797.84021000007,100050.72986894415,1359.4369999999958,1983,78397.53850009036,100050.72986894415,-1599.698290090295,101650.42815903445
12,75887.30414999997,100050.72986894415,1359.4369999999958,1839,51519.526000316255,100050.72986894415,24367.778149683712,75682.95171926044
13,75184.5817800002,100050.72986894415,1359.4369999999958,1730,113465.36170046846,100050.72986894415,-38280.77992046827,138331.50978941243
14,74920.7041800001,100050.72986894415,1359.4369999999958,1644,111675.75670060515,100050.72986894415,-36755.05252060505,136805.7823895492
15,73979.75151,100050.72986894415,1359.4369999999958,1535,89387.61440026807,100050.72986894415,-15407.862890268065,115458.59275921222
16,73064.39910000002,100050.72986894415,1359.4369999999958,1448,86573.03730039205,100050.72986894415,-13508.63820039203,113559.36806933618
17,72098.00177999987,100050.72986894415,1359.4369999999958,1361,96075.86790047842,100050.72986894415,-23977.866120478546,124028.5959894227
18,71483.06423999985,100050.72986894415,1359.4369999999958,1298,89321.91970079276,100050.72986894415,-17838.85546079291,117889.58532973706
19,70369.83344999999,100050.72986894415,1359.4369999999958,1221,72775.54990000231,100050.72986894415,-2405.716450002321,102456.44631894647
20,69958.42328999992,100050.72986894415,1359.4369999999958,1164,100505.02330076508,100050.72986894415,-30546.600010765163,130597.32987970932
