threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,263807.7172004835,263807.7172004835,417.71320000000026,810147,-1.5447855829534618e-9,263807.7172004835,263807.71720048506,-1.57160684466362e-9
1,233684.07480000213,263807.7172004835,417.71320000000026,36190,356433.9613938619,263807.7172004835,-122749.88659385979,386557.6037943433
2,223263.45079999653,263807.7172004835,417.71320000000026,23163,397249.885092497,263807.7172004835,-173986.43429250046,437794.1514929839
3,215411.6903999988,263807.7172004835,417.71320000000026,17594,442357.03320282727,263807.7172004835,-226945.34280282847,490753.06000331196
4,206895.99959999858,263807.7172004835,417.71320000000026,14247,473225.648832889,263807.7172004835,-266329.6492328904,530137.3664333739
5,192105.67679999943,263807.7172004835,417.71320000000026,10711,586411.8768443096,263807.7172004835,-394306.2000443102,658113.9172447936
6,183926.6951999994,263807.7172004835,417.71320000000026,8898,567222.3532958134,263807.7172004835,-383295.65809581405,647103.3752962975
7,178301.59439999994,263807.7172004835,417.71320000000026,7869,632618.8912031272,263807.7172004835,-454317.2968031273,718125.0140036107
8,172977.7707999998,263807.7172004835,417.71320000000026,6858,641833.6661762786,263807.7172004835,-468855.8953762788,732663.6125767622
9,168807.7383999998,263807.7172004835,417.71320000000026,6216,598393.4634622198,263807.7172004835,-429585.72506222,693393.4422627036
10,161140.82600000038,263807.7172004835,417.71320000000026,5397,663335.0098737713,263807.7172004835,-502194.183873771,766001.9010742544
11,156415.7495999996,263807.7172004835,417.71320000000026,4817,637606.5971624958,263807.7172004835,-481190.8475624962,744998.5647629797
12,153317.28959999973,263807.7172004835,417.71320000000026,4268,577161.7326918915,263807.7172004835,-423844.44309189176,687652.1602923753
13,149291.64920000022,263807.7172004835,417.71320000000026,3893,701296.011294624,263807.7172004835,-552004.3620946237,815812.0792951072
14,145280.9228000001,263807.7172004835,417.71320000000026,3588,717803.0390750157,263807.7172004835,-572522.1162750156,836329.8334754992
15,141763.02719999992,263807.7172004835,417.71320000000026,3324,721536.2427873414,263807.7172004835,-579773.2155873415,843580.9327878249
16,137741.8904000001,263807.7172004835,417.71320000000026,3086,819318.6426157908,263807.7172004835,-681576.7522157908,945384.4694162742
17,135303.49679999988,263807.7172004835,417.71320000000026,2914,802048.2671070568,263807.7172004835,-666744.770307057,930552.4875075405
18,134067.96679999962,263807.7172004835,417.71320000000026,2783,705190.1473918837,263807.7172004835,-571122.1805918841,834929.8977923675
19,132295.8668,263807.7172004835,417.71320000000026,2656,553754.4932948959,263807.7172004835,-421458.6264948959,685266.3436953793
20,130209.3184000002,263807.7172004835,417.71320000000026,2499,639122.5754711526,263807.7172004835,-508913.25707115233,772720.9742716358
